KEY,English,japanese(翻訳),翻訳率:93.04% (1044/1122)
TutC1Title,The day after,その翌日,コメント
TutC1Preamble,"July 25, 2473 - While crews all over the solar system are being trained and ships are being prepared for 'Operation Phoenix', Apollon Station is one of the secret facilities where highly classified alien tech, retrieved from the ancient wreckage, is researched and tested for use on the Andromeda Expedition.\n\nAs security chief of Apollon Station, you were appointed as a commander on the MS Titan as of yesterday. Your present crew was chosen to be a part of the endeavor as well.\n\nBut before you can check in on the capital vessel , there are some final tasks to do...\n\n[ff2400]---\n[ff2400]IMPORTANT: STICK TO THE MISSION OBJECTIVES!\nThe tutorial is not about exploring, but to teach you the basics! Not following the tasks, paths or mission objectives described in the messages, can easily break the tutorial.",,原文が変更されたため一時退避：2473年7月25日 - アポロン・ステーションは「フェニックス計画」のための太陽系全域の乗組員の訓練と艦船の準備がなされていると同時に、古代文明の古跡から極秘裏に回収されたエイリアン・テクノロジーをアンドロメダ遠征に使用するため研究し、実験する機密施設の一つである。 \n\n アポロン・ステーションのセキュリティー責任者として、あなたは昨日付けでMS Titanの指揮官に任命された。 現在の部下もまた一員に選ばれた。\n\nしかし、この主力宇宙船に搭乗する前に、最後に行うべき任務があった... \n\n [ff2400] --- \n [ff2400]重要:任務の目標に専念しましょう!\nこのチュートリアルは探検ではなく、基本的な流れを確認するためにあります! メッセージのタスク、道筋、ミッションの目的に従わないと、チュートリアルは簡単に破綻します。
TutC1Desc,"[fff400]Tutorial Tips[-]\n1. [fff400]Missed an important info, message or instruction?[-]\nOpen the PDA with [ff2400]F1[-], then click on the headline of the currently active mission in the list on the left and switch to [ff2400]PDA LOG[-] with the top right button.\n\n[fff400]2. Not sure what to do next?[-]\nCheck the TASK list on the right screen or watch for [fff400]yellow markers[-] on your screen. They'll guide you to your mission objectives!\n\n[ff2400]Debug notes:[-]\n- The YELLOW screen markers will complete a task if you are closer than 4m\n- If a task, which asked you to move some items from A to B does not complete, move the items back and forth between A and B again.\n- The Tutorial only displays the default keyboard controls. Check OPTIONS if you made changes there.",,原文が変更されたため一時退避：[fff400]チュートリアルのヒント[-]\n1・[fff400]重要な情報、メッセージ、または指示を見逃した?[-]\n[ff2400]F1[-]でPDAを開き、左側のリストから現在アクティブなミッションの見出しをクリックして切り替えてください。\n[ff2400] PDAログ[-]は右上のボタンで表示されます。\n\n[fff400] 2・次に何をするべきか分からない?[-]\n画面上の目標リストを確認するか、[fff400]黄色のマーカー[-]を確認してください。\n\n[ff2400]デバッグノート:[-]\n- 黄色のスクリーンマーカーは、あなたが4mより近くにいる場合にタスクを完了します。\n- AからBへアイテムの移動を要求されたタスクが完了しなかった場合は、もう一度アイテムをAとBの間で行き来させてみてください。\n- このチュートリアルでは、デフォルトのキー設定のみが表示されます。 OPTIONSを変更したかどうかを確認してください。
TutC1Complete,"[c][00dfff] Hey, what are you waiting for? I've been trying to reach you since this morning! \n\nI appreciate Alex brought your stuff here - again - but really, could you please drop your suit off in person next time?\nYou need to come down and sign the paperwork.\n\nOh, by the way - the eggheads in Lab A are waiting for you as well. No idea what they want. They just said I should remind you to pick something up from the Mining Hub.\n\n- CB, Quartermaster[-]\n\nOff we go.\n\nLet's see if I at least get my stuff back.\n\n_____\n[f98009][i]Use [ff2400]C[-] and [ff2400]SPACE[-] to use the elevator.[/i][-]","[c][00dfff] おい、早くしてくれないか?今朝から連絡しようとしていたんだぞ!\n\nアレックスがあんたの備品をここに持ってきてくれたのはありがたいけどね、\nホントに次は自分でスーツを脱いでくれませんかね?\n下に降りたら署名してくれよな。\n\nああ、ところで、Aラボのインテリ連中があんたを待ってるぞ。何の用かは知らんけどな。\n何か採掘拠点から何かを拾ってくるのを思い出させろとかなんとか言ってたが。\n\n- CB, 需品将校[-]\n\nさあ行こう。\n\n少なくとも私物は取り戻すとするかな。\n\n_____\n[f98009][i][ff2400]C[-]と[ff2400]SPACE[-]でエレベータを使う。[/i][-]",
TutC1T1Title,Sleeping Room,寝室,
TutC1T1A1,Wake Up,目を覚ます,
TutC1T1A1Complete,oooh..I am not feeling too well..my head...ouch...\n..and Food Poisoning from the raw food...\n..I am getting too old for this ...\n\nUsing the Toilet [ff2400](F)[-] will help..,うぅ、気持ちが悪い…頭が…ああ…\n生ものにあたったか…\n …どうやら腐っていたようだ… \n\n トイレで[ff2400](F)[-]を使えば助けになる…,
TutC1T2Title,Serious Sickness,気分が悪い,
TutC1T2A1,Go To Toilet,トイレに行く,
TutC1T2A2,Use Toilet,トイレを流す,
